City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Tuktoyaktuk,CA,2022-09-19 03:24:19,69.4541,-133.0374,48.2,76,75,8.05
173,Vincennes,FR,2022-09-19 03:24:11,48.85,2.4333,52.9,83,20,4.61
174,Inuvik,CA,2022-09-19 03:24:20,68.3499,-133.7218,50.86,66,75,4.61
175,San Patricio,US,2022-09-19 03:24:20,28.017,-97.5169,84.88,73,1,9.69
176,Rjukan,NO,2022-09-19 03:22:15,59.8789,8.5941,40.05,78,93,4.9
177,Aden,YE,2022-09-19 03:24:20,12.7794,45.0367,87.22,70,39,6.51
178,Burnie,AU,2022-09-19 03:24:21,-41.0667,145.9167,55.94,51,10,9.91
179,Coquimbo,CL,2022-09-19 03:23:17,-29.9533,-71.3436,51.53,87,0,0.0
180,Paita,PE,2022-09-19 03:24:21,-5.0892,-81.1144,64.27,88,3,12.46
181,Margate,GB,2022-09-19 03:24:21,51.3813,1.3862,54.7,73,85,5.01
182,Marshfield,US,2022-09-19 03:24:22,44.6689,-90.1718,63.55,94,0,8.05
183,Hasaki,JP,2022-09-19 03:24:22,35.7333,140.8333,90.28,84,82,20.85
184,Iqaluit,CA,2022-09-19 03:25:23,63.7506,-68.5145,42.53,81,75,2.3
185,Cherskiy,RU,2022-09-19 03:25:23,68.75,161.3,37.53,53,92,4.92
186,Buchanan,LR,2022-09-19 03:22:42,5.8808,-10.0467,75.56,87,99,6.87
187,Nyaunglebin,MM,2022-09-19 03:25:24,17.95,96.7333,77.47,93,100,7.27
188,Katobu,ID,2022-09-19 03:25:24,-4.9408,122.5276,86.58,59,93,5.79
189,Tasiilaq,GL,2022-09-19 03:25:24,65.6145,-37.6368,46.56,97,100,6.29
190,Quata,BR,2022-09-19 03:25:25,-22.2475,-50.6983,64.29,53,0,12.75
191,Uarini,BR,2022-09-19 03:25:25,-2.99,-65.1083,74.93,89,99,2.15
192,Poplar Bluff,US,2022-09-19 03:25:25,36.757,-90.3929,74.98,85,0,0.0
193,Alberdi,AR,2022-09-19 03:25:26,-32.8899,-60.6906,57.04,97,69,1.99
194,Rio Grande,BR,2022-09-19 03:25:26,-32.035,-52.0986,59.95,81,100,17.11
195,Romitan,UZ,2022-09-19 03:25:26,39.9343,64.3814,64.35,52,0,6.91
196,Kutum,SD,2022-09-19 03:25:26,14.2,24.6667,75.94,52,19,6.49
197,Necochea,AR,2022-09-19 03:25:27,-38.5473,-58.7368,51.67,93,100,12.37
198,Kalabo,ZM,2022-09-19 03:25:27,-14.97,22.6814,66.47,51,12,5.95
199,Bilma,NE,2022-09-19 03:25:27,18.6853,12.9164,86.86,37,14,3.31
200,Ginir,ET,2022-09-19 03:25:28,7.1333,40.7,57.83,73,44,5.19
201,Upernavik,GL,2022-09-19 03:25:28,72.7868,-56.1549,35.92,73,100,1.99
202,Rumonge,BI,2022-09-19 03:25:29,-3.9736,29.4386,75.78,65,100,1.7
203,Inhambane,MZ,2022-09-19 03:25:29,-23.865,35.3833,73.38,94,20,13.8
204,Dikson,RU,2022-09-19 03:25:29,73.5069,80.5464,31.03,77,48,15.46
205,Hithadhoo,MV,2022-09-19 03:25:29,-0.6,73.0833,81.91,73,99,7.81
206,Ternate,ID,2022-09-19 03:25:30,0.8,127.4,86.36,59,17,1.81
207,Kysyl-Syr,RU,2022-09-19 03:25:30,63.8986,122.7617,38.3,53,64,8.03
208,Kiama,AU,2022-09-19 03:24:26,-34.6833,150.8667,70.25,33,96,11.68
209,Ziyang,CN,2022-09-19 03:25:30,29.2497,117.8547,89.19,37,4,6.35
210,Kabalo,CD,2022-09-19 03:25:31,-6.05,26.9167,69.37,94,99,0.72
211,Rome,US,2022-09-19 03:25:31,34.257,-85.1647,69.01,88,0,0.0
212,Kabanjahe,ID,2022-09-19 03:25:31,3.1001,98.4908,73.13,58,100,1.79
213,Severo-Kurilsk,RU,2022-09-19 03:23:58,50.6789,156.125,52.38,96,99,20.47
214,Southbridge,US,2022-09-19 03:25:32,42.0751,-72.0334,70.16,93,100,1.99
215,Chake Chake,TZ,2022-09-19 03:25:32,-5.2459,39.7666,73.44,86,14,8.61
216,Sabha,LY,2022-09-19 03:25:32,27.0377,14.4283,80.67,15,0,11.7
217,Westport,US,2022-09-19 03:25:32,41.1415,-73.3579,75.9,81,0,7.0
218,Alpena,US,2022-09-19 03:23:22,45.0617,-83.4327,73.72,85,75,5.75
219,Georgetown,MY,2022-09-19 03:21:17,5.4112,100.3354,87.73,70,20,5.75
220,Ramona,US,2022-09-19 03:25:33,33.0417,-116.8681,66.16,79,0,4.61
221,Sakakah,SA,2022-09-19 03:20:51,29.9697,40.2064,76.57,21,0,3.0
222,East London,ZA,2022-09-19 03:25:33,-33.0153,27.9116,56.34,94,20,11.5
223,Los Llanos De Aridane,ES,2022-09-19 03:25:33,28.6585,-17.9182,67.75,86,0,4.61
224,Harper,LR,2022-09-19 03:25:34,4.375,-7.7169,75.9,86,76,6.4
225,Laguna,US,2022-09-19 03:25:34,38.421,-121.4238,65.91,82,75,12.66
226,Xining,CN,2022-09-19 03:25:34,36.6167,101.7667,55.47,87,100,2.3
227,Lloydminster,CA,2022-09-19 03:25:35,53.2835,-110.0016,50.22,81,0,2.3
228,Byron Bay,AU,2022-09-19 03:25:35,-28.65,153.6167,80.71,37,1,5.7
229,Ponta Delgada,PT,2022-09-19 03:25:35,37.7333,-25.6667,72.32,83,20,4.61
230,Sur,OM,2022-09-19 03:25:36,22.5667,59.5289,81.68,73,0,9.24
231,Vila Do Maio,CV,2022-09-19 03:25:36,15.1333,-23.2167,77.79,69,98,9.22
